Company,Category/Subject,Grade/Age Group,Link,Description,Free Service Offered
12 Museum Virtual Tours,,,https://www.msn.com/en-us/travel/travel-trivia/stuck-at-home-these-12-famous-museums-offer-virtual-tours-you-can-take-on-your-couch-video/ar-BB119nm6?li=BBnbfcL&fbclid=IwAR0_OBJH7lSyTN3ug_MsOeFnNgB1orTa9OBgilKJ7dhnwlVvHEsptuKkj1c,Google Arts & Culture teamed up with over 500 museums/galleries around the world to bring everyone virtual tours and online exhibits of some of the most famous museums around the world.,Free virtual tours of 12 famous museums
"12-Story Library, an imprint of Bookstaves","Reading, Writing, Science, Social Studies, STEM","3rd - 5th, 6th - 8th",www.12storylibrary.com,"12-Story Library has opened up access to our full library of ebooks, each of which are paired with a unique resource web page with content updates, live news feeds, videos, image galleries, and lesson plans.",Free ebooks and digital resources
123 Homeschool for ME,,,https://www.123homeschool4me.com/home-school-free-printables/,Free printable worksheets and educational activities to help making learning fun. Resources arranged by grade or subject.,Free worksheets and activities
2Simple,,,https://2simple.com/blog/using-purple-mash-when-school-closed/,"Purple Mash is a website designed for children aged 3-11. It contains many creative tools ie: coding, animation, publishing, art and also applications for maths, spelling and grammar. Teachers can ‘set work’ for children easily then view / comment on completed files. It also contains thousands of topic based activities. Serial Mash gives you a whole library of e-books and corresponding activities. Both can be used on any tablet or computer with a web browser.",
3DBear,,,https://www.3dbear.io/3dbear-free-access-education-coronavirus,Easy-to-use AR learning app and lesson plans provide you and your students with the opportunity to design and create in Augmented Reality.,Free app and lesson plans
3P Learning,"Math, Reading, Writing, Science, Early Childhood, STEM, Spelling","Early Childhood, K - 2nd, 3rd - 5th, 6th - 8th, High School",3plearning.com/distance-teaching,Education software that inspires a love of learning,"4 weeks access to any or all of our products, as well as ongoing training and support"
3rd Space Learning,"Math, Intervention Resources","3rd - 5th, 6th - 8th",thirdspacelearning.com/home-learning,"Third Space Learning are specialists in teaching maths to young children, providing interventions and resources for 5 to 11 year olds (KS1 and KS2, 1st Grade to 6th Grade). Follow the link for hundreds of free maths resources for parents and guidance on supporting with maths at home.",Hundreds of free maths resources and parent guides on supporting with maths at home
8x8,Free 8x8 Video Meetings,"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Foreign Language, Physical Education, Early Childhood, Special Education, STEM, Intervention Resources, Counseling, All of the above could be taught virtually using 8x8 Video Meetings at no charge",https://8x8.vc/,Free Video Meetings,"8x8 Video Meetings is free and web-based. It's available to anyone, globally, at no cost. It's a helpful tool in the event of school closures, event cancellations or for quickly implementing virtual learning environments. Visit https://8x8.vc/, name your meeting and click start. It’s that easy. No need to share an email address or download software."
ABDO/abdodigital.com,,,https://abdodigital.com/?tk=7724458A4EE9A73EE8087AC8D237C57C,ABDO's entire eBook collection is now available to students to access at home FREE.,Entire ABDO eBook Collection
Absolute,,,https://www.absolute.com/company/press-releases/2020/absolute-enables-customers-to-seamlessly-repair-vpn-applications-amid-coronavirus-outbreak/,Absolute is the first and only company to offer uncompromised visibility and near real-time remediation of security breaches at the source.,"Absolute is offering free access to Application Persistence for VPN for all of its Visibility and Control tier customers through August 31, 2020."
